Zipcode,Median Age,Population,Asian,Black,Hispanic,White,American Indian,Native Hawaaiian,Two or more races
77642,32.4,39202.0,3653.0,11287.0,16900.0,22287.0,298.0,47.0,812.0
77664,49.4,2939.0,46.0,98.0,158.0,2598.0,0.0,0.0,105.0
77701,36.2,13480.0,328.0,6781.0,4335.0,5753.0,0.0,0.0,102.0
77010,54.8,890.0,52.0,81.0,36.0,757.0,0.0,0.0,0.0
77020,33.5,26357.0,47.0,5895.0,19391.0,12180.0,83.0,0.0,724.0
77021,34.8,26214.0,916.0,18747.0,3744.0,6021.0,155.0,0.0,117.0
77030,34.5,11229.0,3089.0,439.0,1084.0,7114.0,23.0,0.0,509.0
77037,33.7,18966.0,50.0,135.0,17827.0,17718.0,22.0,0.0,78.0
77045,31.2,36532.0,228.0,17653.0,17750.0,16331.0,0.0,0.0,476.0
77082,34.6,55056.0,8091.0,21054.0,15032.0,20733.0,378.0,12.0,1642.0
77084,33.1,107673.0,11852.0,16768.0,48201.0,57673.0,833.0,13.0,4024.0
77301,31.7,34169.0,353.0,3588.0,17803.0,27854.0,251.0,12.0,474.0
77316,39.4,26119.0,175.0,329.0,3488.0,24701.0,161.0,0.0,304.0
77318,45.6,16303.0,197.0,164.0,3253.0,15034.0,19.0,0.0,442.0
77340,26.5,31352.0,719.0,7243.0,5352.0,22134.0,191.0,5.0,827.0
77346,34.8,66805.0,1963.0,12116.0,17139.0,48399.0,160.0,87.0,2375.0
77355,40.6,29281.0,78.0,515.0,5567.0,26744.0,210.0,99.0,717.0
77373,34.8,61501.0,1774.0,13896.0,19606.0,38823.0,84.0,279.0,1985.0
77434,36.5,4740.0,0.0,1122.0,2384.0,2568.0,4.0,0.0,177.0
77446,20.3,6520.0,38.0,5959.0,284.0,343.0,5.0,25.0,105.0
77466,42.5,511.0,0.0,8.0,273.0,429.0,4.0,0.0,11.0
77469,36.0,53992.0,6396.0,10308.0,18010.0,33065.0,144.0,12.0,1798.0
77336,35.5,13156.0,25.0,258.0,2473.0,12443.0,0.0,0.0,186.0
77094,41.3,10271.0,2429.0,345.0,1040.0,6916.0,11.0,0.0,348.0
77096,37.1,32682.0,3216.0,6927.0,7463.0,16929.0,199.0,9.0,835.0
77379,39.1,81368.0,9192.0,7758.0,15611.0,58085.0,184.0,37.0,1981.0
77386,32.4,57421.0,2677.0,6306.0,12219.0,45807.0,118.0,0.0,1903.0
77389,34.7,38222.0,2252.0,2268.0,10323.0,30443.0,179.0,54.0,1828.0
77437,35.9,16913.0,14.0,1197.0,8530.0,14866.0,22.0,0.0,160.0
77451,45.2,53.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0
77465,37.4,7151.0,507.0,129.0,3575.0,5728.0,20.0,0.0,196.0
77479,39.9,93848.0,41327.0,6821.0,8946.0,42352.0,102.0,256.0,2062.0
77481,84.2,35.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0
77853,51.8,1059.0,0.0,242.0,310.0,667.0,0.0,0.0,4.0
77651,40.2,12782.0,441.0,421.0,1427.0,11284.0,0.0,24.0,440.0
77803,30.3,32946.0,37.0,8027.0,19620.0,21060.0,39.0,44.0,1127.0
77830,40.6,3101.0,0.0,394.0,199.0,2619.0,16.0,0.0,72.0
77859,37.8,6750.0,0.0,1654.0,2318.0,4847.0,33.0,0.0,42.0
77864,36.6,7562.0,425.0,1107.0,1881.0,5257.0,16.0,0.0,211.0
77867,56.5,106.0,0.0,50.0,48.0,55.0,0.0,0.0,0.0
77474,37.7,12487.0,16.0,957.0,4497.0,8949.0,0.0,0.0,626.0
77488,39.4,14525.0,117.0,3739.0,4844.0,10088.0,0.0,0.0,136.0
77503,30.3,24808.0,49.0,820.0,17108.0,22415.0,252.0,19.0,466.0
77510,41.0,14485.0,28.0,118.0,2222.0,13993.0,67.0,0.0,246.0
77521,32.3,60164.0,1460.0,12125.0,25329.0,42655.0,397.0,31.0,1552.0
62444,40.9,370.0,0.0,0.0,8.0,370.0,0.0,0.0,0.0
62454,39.1,11166.0,59.0,1185.0,554.0,9521.0,12.0,0.0,341.0
62459,31.8,344.0,0.0,1.0,7.0,343.0,0.0,0.0,0.0
62461,47.3,724.0,0.0,0.0,0.0,724.0,0.0,0.0,0.0
62463,41.4,1230.0,44.0,0.0,4.0,1186.0,0.0,0.0,0.0
62522,36.9,15379.0,100.0,3026.0,475.0,11167.0,70.0,4.0,908.0
62523,29.8,1382.0,10.0,558.0,29.0,528.0,8.0,0.0,268.0
62526,42.3,31544.0,212.0,5178.0,954.0,23735.0,33.0,13.0,2183.0
62556,47.9,344.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0
62612,46.5,1832.0,0.0,21.0,12.0,1776.0,7.0,0.0,28.0
62644,45.4,4921.0,0.0,28.0,11.0,4807.0,4.0,0.0,82.0
62650,39.7,26524.0,180.0,2374.0,788.0,23210.0,82.0,2.0,631.0
62682,43.0,963.0,0.0,9.0,46.0,929.0,7.0,0.0,18.0
